ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
37439	ضُلِّيلَة	Dul~iylap	ضُلِّيلَة	Dul~iylap	noun	NOUN	مِظَلَّة	miZal~ap	awning	UNK	UNK	miZal~ap_1	pos:noun
37440	ضُلِّيلَة	Dul~iylap	ضُلِّيلَة	Dul~iylap	noun	NOUN	مِظَلَّة	miZal~ap	awning	UNK	UNK	miZal~ap_2	pos:noun
37441	ضُمادَة	DumAdap	ضُمادَة	DumAdap	noun	NOUN	ضِمادَة	DimAdap	bandage	DumAdap_1	pos:noun	DimAdap_2	pos:noun
37442	ضُهْرِيَّة	Duhoriy~ap	ضُهْرِيَّة	Duhoriy~ap	noun	NOUN	ضْهْرِيَّة	Dohoriy~ap	non to afternoon	Duhoriy~ap_1	pos:noun	UNK	UNK
37443	ضُهْرِيَّه	Duhoriy~ah	ضُهْرِيَّه	Duhoriy~ah	noun	NOUN	ضْهْرِيّه	Dohoriy~h	back part	UNK	UNK	UNK	UNK
37444	ضُوْئِي	Duwo}iy	ضُوْئِي	Duwo}iy	adj	ADJ	ضَوْئِيّ	Dawo}iy~	light;;luminous;;clear	UNK	UNK	Dawo}iy~_1	pos:adj
37445	ضِحِك	DiHik	ضِحِك	DiHik	verb	PV	ضَحِك	DaHik	laugh;;be laughed at	DiHik_1	pos:verb	DaHik-a_1	pos:verb
37446	ضِحْك	DiHok	ضِحْك	DiHok	noun	NOUN	ضَحْك	DaHok	laughter;;laughing	DiHok_1	pos:noun	DaHok_1	pos:noun
37447	ضِحْك	DiHok	ضِحْك	DiHok	vbn	NOUN	ضَحْك	DaHok	laughter;;laughing	DiHok_1	pos:noun	DaHok_1	pos:noun
37448	ضِحْكَة	DiHokap	دِحْكَة	diHokap	noun	NOUN	ضَحْكَة	DaHokap	laugh;;laughter	diHokap_1	pos:noun	DaHokap_1	pos:noun
37449	ضِدّ	Did~	ضِدّ	Did~	adv	NOUN	ضِدّ	Did~	against	Did~_1	pos:noun	Did~_1	pos:noun
37450	ضِدّ	Did~	ضِدّ	Did~	noun	NOUN	ضِدّ	Did~	contrary;;against;;opposed;;anti-;;counter-;;opposites	Did~_1	pos:noun	Did~_1	pos:noun
37451	ضِدّ	Did~	ضِدّ	Did~	prep	NOUN	ضِدّ	Did~	contrary;;against;;opposed;;anti-;;counter-;;opposites	Did~_1	pos:noun	Did~_1	pos:noun
37452	ضِدِّيّ	Did~iy~	ضِدِّيّ	Did~iy~	adj	ADJ	ضِدِّيّ	Did~iy~	anti-	Did~iy~_1	pos:adj	Did~iy~_1	pos:adj
37453	ضِرْس	Diros	ضِرْس	Diros	noun	NOUN	ضَرَس	Daras	molar	Diros_1	pos:noun	Daras_1	pos:noun
37454	ضِرْس	Diros	ضِرْس	Diros	noun	NOUN	ضِرْس	Diros	molar	Diros_1	pos:noun	Diros_1	pos:noun
