ID	Source	Egyptian-Word	CODA	MSA-Equivalent	MSA-Lemma	MSA_L_S_Type	English-Equivalent	Egyptian-POS	Egyptian-POS-LDC	MSA-POS	MSA-POS-LDC	Word-Type	Lemma	Gender	Number	Rationality	CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	SAMA-Gloss
6284	B	$alab	$alab	Darab	Darab	L	to swipe	verb	PV	verb	PV	L	_	NA	NA	NA	$alab_1	Darab_1	pos:verb	pos:verb	strike;;hit;;be struck;;be hit
6285	C	$alabAn	$alabAn	$alabAn	$alabAn	L	_	vbn	NOUN	vbn	NOUN	L	_	M	S	NA	$alabAn_1	UNK	pos:noun	UNK	UNK
6286	B	$alaH	$alaH	rafaD	rafaD	L	to fire;;dismiss	verb	PV	verb	PV	L	_	NA	NA	NA	$alaH_1	rafaD-u_1	pos:verb	pos:verb	reject;;refuse;;be rejected;;be refused
6287	B	$alaH	$alaH	$alaH	$alaH	L	to defrock	verb	PV	verb	PV	L	_	NA	NA	NA	$alaH_1	$alaH-a_1	pos:verb	pos:verb	disrobe;;shed
6288	T	$alaH	$alaH	$alaH	$alaH	L	divest;;disrobe	verb	PV	verb	PV	L	_	NA	NA	NA	$alaH_1	$alaH-a_1	pos:verb	pos:verb	disrobe;;shed
6289	C	$alaHAn	$alaHAn	ta$oliyH	ta$oliyH	L	divestment;;plundering	vbn	NOUN	vbn	NOUN	L	_	M	S	NA	$alaHAn_1	ta$oliyH_1	pos:noun	pos:noun	divestment;;plundering
6290	B	$alal	$alal	$alal	$alal	L	paralysis	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	$alal_1	$alal_1	pos:noun	pos:noun	paralysis;;impotence;;inertia
6291	T	$alal	$alal	$alal	$alal	L	paralysis;;impotence;;inertia	noun	NOUN	noun	NOUN	L	_	S	S	I	$alal_1	$alal_1	pos:noun	pos:noun	paralysis;;impotence;;inertia
6292	T	$alal	$alal	$alal	$alal	L	paralysis;;impotence;;inertia	vbn	NOUN	vbn	NOUN	L	_	NA	NA	NA	$alal_1	$alal_1	pos:noun	pos:noun	paralysis;;impotence;;inertia
6293	C	$alalAn	$alalAn	$alal	$alal	L	paralysis;;impotence;;inertia	vbn	NOUN	vbn	NOUN	L	_	M	S	NA	$alalAn_1	$alal_1	pos:noun	pos:noun	paralysis;;impotence;;inertia
6294	B	$alaq	$alaq	HAd~	HAd~	L	ill bred;;abusive	adj	ADJ	adj	ADJ	L	_	M	S	R	$alaq_1	HAd~_2	pos:adj	pos:adj	sharp;;intense
6295	T	$alaq	$alaq	saliyT	saliyT	L	strong;;sharp	adj	ADJ	adj	ADJ	L	_	S	S	I	$alaq_1	saliyT_1	pos:adj	pos:adj	strong;;sharp
6296	B	$alAtiyt	$alAtiyt	Tay~At	Tay~ap	S	omasum;;many plies	noun	NOUN	noun	NOUN	S	$alotuwt	M	SB	I	$alAtiyt_1	Tay~ap_1	pos:noun	pos:noun	fold;;interior;;insides (of)
6297	B	$Alayh	$Alayh	$Aliyh	$Aliyh	L	chalet	noun	NOUN	noun	NOUN	L	_	M	S	I	$Alayh_1	$Aliyh_1	pos:noun	pos:noun	chalet;;lodge
6298	C	$Alib	$Alib	$Alib	$Alib	L	_	pple-act	ADJ	pple-act	ADJ	L	_	M	S	I	$Alib_1	UNK	pos:adj	UNK	UNK
6299	C	$AliH	$AliH	$AliH	$AliH	L	_	pple-act	ADJ	pple-act	ADJ	L	_	M	S	I	$AliH_1	UNK	pos:adj	UNK	UNK
6300	C	$Alil	$Alil	$Alil	$Alil	L	_	pple-act	ADJ	pple-act	ADJ	L	_	M	S	I	$Alil_1	UNK	pos:adj	UNK	UNK
6301	C	$alisotawn	$Arolisotawn	$Arolisotawn	$Arolisotawn	L	_	noun	NOUN	noun	NOUN	L	_	M	S	I	$alisotawn_1	UNK	pos:noun	UNK	UNK
6302	B	$aliyap	$aliyap	<inA' fox~Ar	<inA' fox~Ar	S	earthenware vessel	noun	NOUN	noun	NOUN	L	_	F	S	I	UNK	UNK	UNK	UNK	UNK
6303	T	$alo$alap	$alo$alap	$alo$alap	$alo$alap	L	dripping;;trickling	vbn	NOUN	vbn	NOUN	L	_	NA	NA	NA	$alo$alap_1	$alo$alap_1	pos:noun	pos:noun	dripping;;trickling
6304	B	$alo$il	$alo$il	nadab	nadab	L	to mourn;;lament	verb	PV	verb	PV	L	_	NA	NA	NA	$alo$il_1	nadab-u_1	pos:verb	pos:verb	lament;;deputize;;entrust
6305	C	$alob	$alob	$alob	$alob	L	_	vbn	NOUN	vbn	NOUN	L	_	M	S	NA	$alob_1	UNK	pos:noun	UNK	UNK
6306	B	$alobiy	$alobiy	$alabiy~	$alabiy~	L	god shape	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	$alabiy~_2	UNK	pos:adj	handsome;;dandy
6307	B	$alobiy	$alobiy	mizAjiy~	mizAjiy~	L	temperamental	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	mizAjiy~_1	UNK	pos:adj	mood;;state of mind
6308	B	$aloDuwmap	$aloDuwmap	mi$ofar	mi$ofar	L	thick lip	noun	NOUN	noun	NOUN	L	_	F	S	I	$aloDuwmap_1	mi$ofar_1	pos:noun	pos:noun	snout;;lip;;lips
6309	B	$alofaT	$alofaT	$aw~ah	$aw~ah	L	to smear	verb	PV	verb	PV	L	_	NA	NA	NA	$alofaT_1	$aw~ah_1	pos:verb	pos:verb	distort;;tarnish;;disfigure
6310	C	$alofaTap	$alofaTap	ta$uwiy~ap	ta$uwiy~ap	L	_	vbn	NOUN	vbn	NOUN	L	_	F	S	NA	$alofaTap_1	UNK	pos:noun	UNK	UNK
6311	C	$aloH	$aloH	$alaH	$alaH	L	Shalah	vbn	NOUN	vbn	NOUN	L	_	M	S	NA	$aloH_1	UNK	pos:noun	UNK	UNK
6312	B	$alotap	$alotap	wisAdap	wisAdap	L	cushion	noun	NOUN	noun	NOUN	L	_	F	S	I	$alotap_1	wisAdap_1	pos:noun	pos:noun	cushion;;pillow;;cushions;;pillows
6313	T	$alotap	$alotap	$alotap	$alotap	L	mattress;;mattresses	noun	NOUN	noun	NOUN	L	_	S	S	I	$alotap_1	$alotap_1	pos:noun	pos:noun	mattress;;mattresses
6314	T	$Am	$Am	$Am	$Am	L	Syria	noun+prop	NOUN_PROP	noun+prop	NOUN_PROP	L	_	S	S	I	$Am_1	$Am_1	pos:noun_prop	pos:noun_prop	Syria
6315	B	$am~	$am~	fasad	fasad	L	to go off spoil	verb	PV	verb	PV	L	_	NA	NA	NA	$am~_1	fasad-u_1	pos:verb	pos:verb	spoil;;corrupt;;decompose
6316	B	$am~	$am~	$om~	$om~	L	to smell niff	verb	PV	verb	PV	L	_	NA	NA	NA	$am~_1	UNK	pos:verb	UNK	UNK
6317	T	$am~	$am~	$am~	$am~	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	$am~_1	$am~-u_1	pos:verb	pos:verb	smell;;sniff
6318	B	$am~aE	$am~aE	$am~aE	$am~aE	L	wax	verb	PV	verb	PV	L	_	NA	NA	NA	$am~aE_1	$am~aE_1	pos:verb	pos:verb	wax
6319	B	$am~aE	$am~aE	$am~aE	$am~aE	L	to wax	verb	PV	verb	PV	L	_	NA	NA	NA	$am~aE_1	$am~aE_1	pos:verb	pos:verb	wax
6320	B	$am~aE	$am~aE	$am~aE	$am~aE	L	to deal a hard blow to	verb	PV	verb	PV	L	_	NA	NA	NA	$am~aE_1	$am~aE_1	pos:verb	pos:verb	wax
6321	B	$am~aE	$am~aE	jof~	jof~	L	to become almost dry	verb	PV	verb	PV	L	_	NA	NA	NA	$am~aE_1	UNK	pos:verb	UNK	UNK
6322	T	$am~aE	$am~aE	$am~aE	$am~aE	L	wax	verb	PV	verb	PV	L	_	NA	NA	NA	$am~aE_1	$am~aE_1	pos:verb	pos:verb	wax
6323	B	$am~AEap	$am~AEap	$om~AEap;;mo$ojob	$om~AEap;;mo$ojob	L	hatstand	noun	NOUN	noun	NOUN	L	_	F	S	I	$am~AEap_1	UNK	pos:noun	UNK	UNK
6324	T	$am~AEap	$am~AEap	$am~AEap	$am~AEap	L	clothes rack	noun	NOUN	noun	NOUN	L	_	S	S	I	$am~AEap_1	$am~AEap_1	pos:noun	pos:noun	clothes rack
6325	B	$am~Am	$am~Am	$am~Am	$am~Am	L	honeydew melons	noun	NOUN	noun	NOUN	L	_	M	MASS_NOUN	I	$am~Am_1	$am~Am_1	pos:noun	pos:noun	muskmelon;;cantaloupe
6326	T	$am~Am	$am~Am	$am~Am	$am~Am	L	muskmelon;;cantaloupe	noun	NOUN	noun	NOUN	L	_	MASS_NOUN	?	I	$am~Am_1	$am~Am_1	pos:noun	pos:noun	muskmelon;;cantaloupe
6327	B	$am~Am	$am~Am	$am~Am	$am~Am	L	narcotics sniffer	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	$am~Am_1	UNK	pos:noun	muskmelon;;cantaloupe
6328	B	$am~am	$am~am	$am~am	$am~am	L	to cause to smell	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	UNK	UNK	UNK	UNK
6329	B	$am~Amap	$am~Amap	$am~Am	$am~Am	L	a melon	noun	NOUN	noun	NOUN	L	_	F	S	I	$am~Amap_1	$am~Am_1	pos:noun	pos:noun	muskmelon;;cantaloupe
6330	C	$am~Amap	$am~Amap	$am~Amap	$am~Amap	L	Shammamah	noun+prop	NOUN_PROP	noun+prop	NOUN_PROP	L	_	F	S	I	$am~Amap_1	UNK	pos:noun_prop	UNK	UNK
6331	B	$am~ap	$am~ap	$om~ap	$om~ap	L	a sniff	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$am~ap_1	UNK	pos:noun	UNK	UNK
6332	C	$am~ap	$am~ap	$am~ap	$am~ap	L	_	noun	NOUN	noun	NOUN	S	$am~	F	S	I	$am~_1	UNK	pos:noun	UNK	UNK
6333	B	$am~ar	$am~ar	$am~ar	$am~ar	L	to tuck up;;roll up	verb	PV	verb	PV	L	_	NA	NA	NA	$am~ar_1	$am~ar_1	pos:verb	pos:verb	gather up;;prepare
6334	B	$am~ar	$am~ar	$am~ar	$am~ar	L	to uncover	verb	PV	verb	PV	L	_	NA	NA	NA	$am~ar_1	$am~ar_1	pos:verb	pos:verb	gather up;;prepare
6335	B	$am~ar	$am~ar	$am~ar	$am~ar	L	to roll up one's garments	verb	PV	verb	PV	L	_	NA	NA	NA	$am~ar_1	$am~ar_1	pos:verb	pos:verb	gather up;;prepare
6336	T	$am~ar	$am~ar	$am~ar	$am~ar	L	gather up;;prepare	verb	PV	verb	PV	L	_	NA	NA	NA	$am~ar_1	$am~ar_1	pos:verb	pos:verb	gather up;;prepare
6337	B	$am~As	$am~As	$am~As	$am~As	L	deacon	noun	NOUN	noun	NOUN	L	_	M	S	I	$am~As_1	$am~As_1	pos:noun	pos:noun	deacon;;acolyte;;deacons;;acolytes
6338	T	$am~As	$am~As	$am~As	$am~As	L	deacon;;acolyte;;deacons;;acolytes	noun	NOUN	noun	NOUN	L	_	S	S	R	$am~As_1	$am~As_1	pos:noun	pos:noun	deacon;;acolyte;;deacons;;acolytes
6339	B	$am~as	$am~as	$am~as	$am~as	L	expose to the sun	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	$am~as_1	UNK	pos:verb	expose to the sun
6340	B	$am~AT	$am~AT	$om~AT	$om~AT	L	arofiteer	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
6341	C	$am~AT	$am~AT	$am~AT	$am~AT	L	_	noun	NOUN	noun	NOUN	L	_	M	S	I	$am~AT_1	UNK	pos:noun	UNK	UNK
6342	B	$am~at	$am~at	$am~at	$am~at	L	to arouse schadenfreude	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	$am~at_1	UNK	pos:verb	disappoint
6343	C	$am~im	$am~im	$am~am	$am~am	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	$am~im_1	UNK	pos:verb	UNK	UNK
6344	C	$am~is	$am~is	$am~as	$am~as	L	expose to the sun	verb	PV	verb	PV	L	_	NA	NA	NA	$am~is_1	$am~as_1	pos:verb	pos:verb	expose to the sun
6345	C	$am~uwsap	$am~uwsap	$am~wsap	$am~wsap	L	_	noun	NOUN	noun	NOUN	L	_	F	S	I	$am~uwsap_1	UNK	pos:noun	UNK	UNK
6346	B	$am~uwTiy	$am~uwTiy	$om~wTiy;;borotoqAl	$om~wTiy;;borotoqAl	L	orange	noun	NOUN	noun	NOUN	L	_	M	S	I	UNK	UNK	UNK	UNK	UNK
6347	C	$am~uwTiy	$am~uwTiy	$am~uwTiy	$am~uwTiy	L	_	adj	ADJ	adj	ADJ	L	_	M	S	I	$am~uwTiy_1	UNK	pos:adj	UNK	UNK
6348	C	$amA$iyriy	$amA$iyriy	$amA$iyriy~	$amA$iyriy~	L	Shamachere	noun+prop	NOUN_PROP	noun+prop	NOUN_PROP	L	_	M	S	R	$amA$iyriy_1	UNK	pos:noun_prop	UNK	UNK
6349	B	$amA$iyrojiy	$amA$iyrojiy	waSiyf	waSiyf	L	valet	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	waSiyf_1	UNK	pos:noun	valet;;lad;;page;;valets;;lads;;pages
6350	B	$AmaduwriyA	$AmaduwriyA	$AmaduwroyA	$AmaduwroyA	L	ornamental palm	noun	NOUN	noun	NOUN	L	_	M	S	I	UNK	UNK	UNK	UNK	UNK
6351	C	$amaHoTajiy	$amaHoTajiy	baloTajiy~	baloTajiy~	L	_	noun	NOUN	noun	NOUN	L	_	M	S	R	$amaHoTajiy_1	baloTajiy~_1	pos:noun	pos:adj	gangster;;ruffian
6352	C	$amaHoTiy	$amaHoTiy	baloTajiy~	baloTajiy~	L	_	noun	NOUN	noun	NOUN	L	_	M	S	R	$amaHoTiy_1	baloTajiy~_1	pos:noun	pos:adj	gangster;;ruffian
6353	T	$amAliy	$amAliy	$amAliy~	$amAliy~	L	north;;northern	adj	ADJ	adj	ADJ	L	_	S	S	I	$amAliy_1	$amAliy~_1	pos:adj	pos:adj	north;;northern
